1.30E+00,6.00E+01,1.25E+00,6.54E+01
1.15E+00,7.53E+01,1.20E+00,7.04E+01
1.09E+00,8.09E+01,1.19E+00,7.15E+01
1.06E+00,8.39E+01,1.13E+00,7.68E+01
1.04E+00,8.59E+01,1.11E+00,7.92E+01
1.03E+00,8.69E+01,1.09E+00,8.12E+01
1.03E+00,8.78E+01,1.09E+00,8.17E+01
1.02E+00,8.87E+01,1.10E+00,8.03E+01
1.02E+00,8.85E+01,1.11E+00,7.90E+01
1.01E+00,8.94E+01,1.09E+00,8.17E+01
1.01E+00,8.96E+01,1.12E+00,7.85E+01
1.00E+00,9.00E+01,1.07E+00,8.33E+01
9.97E-01,9.07E+01,1.10E+00,8.03E+01
1.01E+00,8.98E+01,1.10E+00,8.00E+01
9.91E-01,9.13E+01,1.10E+00,8.03E+01
9.93E-01,9.11E+01,1.07E+00,8.31E+01
1.00E+00,9.05E+01,1.10E+00,8.08E+01
9.89E-01,9.16E+01,1.08E+00,8.27E+01
9.93E-01,9.11E+01,1.07E+00,8.35E+01
9.92E-01,9.12E+01,1.09E+00,8.19E+01
9.90E-01,9.14E+01,1.07E+00,8.30E+01
9.84E-01,9.20E+01,1.09E+00,8.12E+01
9.82E-01,9.22E+01,1.09E+00,8.10E+01
9.84E-01,9.21E+01,1.03E+00,8.74E+01
9.87E-01,9.18E+01,1.05E+00,8.57E+01
9.86E-01,9.19E+01,1.07E+00,8.35E+01
9.87E-01,9.17E+01,1.15E+00,7.58E+01
9.84E-01,9.21E+01,1.05E+00,8.53E+01
9.78E-01,9.26E+01,1.09E+00,8.17E+01
9.82E-01,9.23E+01,1.09E+00,8.19E+01
9.84E-01,9.21E+01,1.11E+00,7.91E+01
9.75E-01,9.29E+01,1.06E+00,8.43E+01
9.85E-01,9.19E+01,1.08E+00,8.21E+01
9.81E-01,9.24E+01,1.09E+00,8.15E+01
9.76E-01,9.28E+01,1.09E+00,8.12E+01
9.78E-01,9.27E+01,1.10E+00,8.02E+01
9.81E-01,9.24E+01,1.06E+00,8.43E+01
9.79E-01,9.25E+01,1.09E+00,8.13E+01
9.78E-01,9.27E+01,1.10E+00,8.06E+01
9.70E-01,9.35E+01,1.05E+00,8.57E+01
9.79E-01,9.26E+01,1.08E+00,8.26E+01
9.70E-01,9.34E+01,1.07E+00,8.35E+01
9.81E-01,9.23E+01,1.05E+00,8.50E+01
9.83E-01,9.21E+01,1.07E+00,8.34E+01
9.84E-01,9.21E+01,1.04E+00,8.65E+01
9.76E-01,9.28E+01,1.08E+00,8.25E+01
9.75E-01,9.29E+01,1.05E+00,8.55E+01
9.76E-01,9.28E+01,1.14E+00,7.61E+01
9.76E-01,9.28E+01,1.08E+00,8.29E+01
9.71E-01,9.33E+01,1.09E+00,8.15E+01
9.73E-01,9.31E+01,1.06E+00,8.46E+01
9.76E-01,9.28E+01,1.08E+00,8.24E+01
9.83E-01,9.22E+01,1.09E+00,8.10E+01
9.67E-01,9.38E+01,1.07E+00,8.30E+01
9.69E-01,9.35E+01,1.07E+00,8.39E+01
9.73E-01,9.32E+01,1.11E+00,7.94E+01
9.78E-01,9.27E+01,1.07E+00,8.30E+01
9.66E-01,9.38E+01,1.10E+00,8.07E+01
9.73E-01,9.32E+01,1.07E+00,8.35E+01
9.77E-01,9.28E+01,1.08E+00,8.25E+01
9.74E-01,9.30E+01,1.09E+00,8.12E+01
9.71E-01,9.33E+01,1.07E+00,8.35E+01
9.71E-01,9.34E+01,1.07E+00,8.31E+01
9.73E-01,9.31E+01,1.07E+00,8.30E+01
9.78E-01,9.27E+01,1.10E+00,8.03E+01
9.81E-01,9.23E+01,1.08E+00,8.28E+01
9.77E-01,9.27E+01,1.10E+00,8.05E+01
9.68E-01,9.37E+01,1.11E+00,7.97E+01
9.69E-01,9.35E+01,1.08E+00,8.25E+01
9.76E-01,9.29E+01,1.10E+00,8.01E+01
9.73E-01,9.32E+01,1.08E+00,8.21E+01
9.72E-01,9.33E+01,1.13E+00,7.79E+01
